transaction_id,item,quantity,price_per_unit,total_spent,payment_method,location,transaction_date,month,day_of_week,is_weekend
TXN_8268061,Salad,3.0,5.0,15.0,Unknown,Takeaway,2023-08-20,August,Sunday,Weekend
TXN_5220895,Salad,5.0,5.0,25.0,Cash,In-store,2023-06-10,June,Saturday,Weekend
TXN_3085509,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-04-15,April,Saturday,Weekend
TXN_9999113,Juice,4.0,3.0,12.0,Cash,Takeaway,2023-05-27,May,Saturday,Weekend
TXN_8779771,Coffee,4.0,2.0,8.0,Cash,In-store,2023-07-25,July,Tuesday,Weekday
TXN_9517146,Unknown,5.0,5.0,25.0,Cash,Takeaway,2023-10-30,October,Monday,Weekday
TXN_1621920,Salad,3.0,5.0,15.0,Unknown,Takeaway,2023-10-28,October,Saturday,Weekend
TXN_3808639,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-12-15,December,Friday,Weekday
TXN_7028009,Cake,4.0,3.0,12.0,Unknown,Takeaway,2023-12-15,December,Friday,Weekday
TXN_7447872,Juice,2.0,3.0,6.0,Unknown,Unknown,2023-12-15,December,Friday,Weekday
TXN_6955416,Salad,4.0,5.0,20.0,Unknown,In-store,2023-02-25,February,Saturday,Weekend
TXN_3775339,Cookie,3.0,1.0,3.0,Credit Card,Unknown,2023-04-03,April,Monday,Weekday
TXN_9547091,Cookie,3.0,1.0,3.0,Credit Card,Unknown,2023-10-08,October,Sunday,Weekend
TXN_4358673,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-12-28,December,Thursday,Weekday
TXN_4174591,Tea,4.0,1.5,6.0,Digital Wallet,Unknown,2023-08-30,August,Wednesday,Weekday
TXN_3398520,Sandwich,1.0,4.0,4.0,Unknown,In-store,2023-02-03,February,Friday,Weekday
TXN_6171384,Smoothie,2.0,4.0,8.0,Credit Card,Unknown,2023-09-12,September,Tuesday,Weekday
TXN_2530938,Smoothie,5.0,4.0,20.0,Unknown,Takeaway,2023-04-27,April,Thursday,Weekday
TXN_3314971,Juice,3.0,3.0,9.0,Digital Wallet,Unknown,2023-05-04,May,Thursday,Weekday
TXN_3092382,Coffee,5.0,2.0,10.0,Digital Wallet,Unknown,2023-02-21,February,Tuesday,Weekday
TXN_1001832,Salad,2.0,5.0,10.0,Cash,Takeaway,2023-02-21,February,Tuesday,Weekday
TXN_1535311,Juice,3.0,3.0,9.0,Cash,Unknown,2023-03-16,March,Thursday,Weekday
TXN_2148617,Juice,3.0,3.0,9.0,Digital Wallet,Unknown,2023-01-10,January,Tuesday,Weekday
TXN_4633784,Unknown,5.0,3.0,15.0,Unknown,In-store,2023-02-06,February,Monday,Weekday
TXN_4368416,Salad,2.0,5.0,10.0,Credit Card,Takeaway,2023-02-24,February,Friday,Weekday
TXN_9790731,Cake,2.0,3.0,6.0,Unknown,Unknown,2023-06-02,June,Friday,Weekday
TXN_9339456,Coffee,3.0,2.0,6.0,Unknown,Takeaway,2023-03-29,March,Wednesday,Weekday
TXN_5179020,Cake,2.0,3.0,6.0,Unknown,Takeaway,2023-06-18,June,Sunday,Weekend
TXN_6258471,Coffee,5.0,2.0,10.0,Digital Wallet,In-store,2023-09-23,September,Saturday,Weekend
TXN_7945375,Juice,3.0,3.0,9.0,Unknown,Unknown,2023-01-14,January,Saturday,Weekend
TXN_4685453,Tea,4.0,1.5,6.0,Cash,In-store,2023-09-14,September,Thursday,Weekday
TXN_9646452,Juice,5.0,3.0,15.0,Credit Card,Unknown,2023-09-16,September,Saturday,Weekend
TXN_9096052,Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-12-28,December,Thursday,Weekday
TXN_5916991,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-02-06,February,Monday,Weekday
TXN_3407169,Sandwich,2.0,4.0,8.0,Cash,In-store,2023-03-11,March,Saturday,Weekend
TXN_2277042,Tea,1.0,1.5,1.5,Cash,Unknown,2023-04-08,April,Saturday,Weekend
TXN_9273729,Tea,1.0,1.5,1.5,Unknown,Unknown,2023-12-19,December,Tuesday,Weekday
TXN_2181545,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-07-14,July,Friday,Weekday
TXN_1150033,Juice,5.0,3.0,15.0,Cash,In-store,2023-04-18,April,Tuesday,Weekday
TXN_1443912,Juice,2.0,3.0,6.0,Unknown,Unknown,2023-06-08,June,Thursday,Weekday
TXN_8700451,Tea,5.0,1.5,7.5,Credit Card,Takeaway,2023-12-12,December,Tuesday,Weekday
TXN_6380550,Coffee,5.0,2.0,10.0,Cash,In-store,2023-01-05,January,Thursday,Weekday
TXN_4885518,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-06-10,June,Saturday,Weekend
TXN_3972167,Sandwich,5.0,4.0,20.0,Unknown,In-store,2023-01-23,January,Monday,Weekday
TXN_4878378,Tea,1.0,1.5,1.5,Credit Card,Unknown,2023-02-20,February,Monday,Weekday
TXN_2484241,Cake,3.0,3.0,9.0,Digital Wallet,Unknown,2023-07-19,July,Wednesday,Weekday
TXN_2368126,Cake,5.0,3.0,15.0,Unknown,In-store,2023-12-06,December,Wednesday,Weekday
TXN_7943008,Coffee,1.0,2.0,2.0,Credit Card,Unknown,2023-12-06,December,Wednesday,Weekday
TXN_8495063,Juice,1.0,3.0,3.0,Cash,Unknown,2023-05-31,May,Wednesday,Weekday
TXN_4811133,Salad,2.0,5.0,10.0,Cash,Unknown,2023-08-11,August,Friday,Weekday
TXN_8729570,Tea,5.0,1.5,7.5,Unknown,In-store,2023-09-03,September,Sunday,Weekend
TXN_7623634,Cake,2.0,3.0,6.0,Credit Card,In-store,2023-07-11,July,Tuesday,Weekday
TXN_9336980,Salad,4.0,3.0,20.0,Cash,In-store,2023-06-06,June,Tuesday,Weekday
TXN_3424331,Cake,4.0,3.0,12.0,Unknown,Unknown,2023-01-18,January,Wednesday,Weekday
TXN_5072031,Cake,2.0,3.0,6.0,Cash,Takeaway,2023-03-23,March,Thursday,Weekday
TXN_8687151,Salad,5.0,5.0,25.0,Cash,Unknown,2023-06-10,June,Saturday,Weekend
TXN_4031509,Unknown,4.0,3.0,16.0,Credit Card,Takeaway,2023-01-04,January,Wednesday,Weekday
TXN_5265095,Coffee,1.0,2.0,2.0,Unknown,Unknown,2023-06-23,June,Friday,Weekday
TXN_6541415,Unknown,3.0,3.0,12.0,Cash,In-store,2023-11-25,November,Saturday,Weekend
TXN_4108138,Coffee,5.0,2.0,10.0,Cash,Unknown,2023-08-03,August,Thursday,Weekday
TXN_1909796,Smoothie,2.0,4.0,8.0,Unknown,Takeaway,2023-07-12,July,Wednesday,Weekday
TXN_1928241,Coffee,3.0,2.0,6.0,Cash,In-store,2023-04-30,April,Sunday,Weekend
TXN_4283157,Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-11-25,November,Saturday,Weekend
TXN_8013032,Coffee,2.0,2.0,4.0,Credit Card,Unknown,2023-03-07,March,Tuesday,Weekday
TXN_8301424,Juice,2.0,3.0,6.0,Unknown,Unknown,2023-06-27,June,Tuesday,Weekday
TXN_1093800,Sandwich,3.0,4.0,12.0,Cash,Takeaway,2023-06-27,June,Tuesday,Weekday
TXN_7965998,Juice,1.0,3.0,3.0,Credit Card,In-store,2023-11-02,November,Thursday,Weekday
TXN_9238666,Cookie,1.0,3.0,1.0,Unknown,Takeaway,2023-07-31,July,Monday,Weekday
TXN_1631695,Tea,2.0,1.5,3.0,Unknown,In-store,2023-09-19,September,Tuesday,Weekday
TXN_1435086,Cake,5.0,3.0,15.0,Unknown,Unknown,2023-02-09,February,Thursday,Weekday
TXN_3226832,Unknown,5.0,4.0,20.0,Cash,Unknown,2023-09-04,September,Monday,Weekday
TXN_1648671,Sandwich,3.0,4.0,12.0,Cash,Takeaway,2023-05-21,May,Sunday,Weekend
TXN_4062737,Cake,3.0,3.0,9.0,Cash,In-store,2023-07-02,July,Sunday,Weekend
TXN_3494565,Unknown,2.0,4.0,8.0,Unknown,Unknown,2023-07-10,July,Monday,Weekday
TXN_9249507,Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-11-21,November,Tuesday,Weekday
TXN_4689500,Sandwich,4.0,4.0,16.0,Unknown,Unknown,2023-12-02,December,Saturday,Weekend
TXN_8989148,Tea,2.0,1.5,3.0,Unknown,Unknown,2023-11-25,November,Saturday,Weekend
TXN_8316826,Coffee,3.0,2.0,6.0,Unknown,In-store,2023-04-17,April,Monday,Weekday
TXN_9836934,Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-03-13,March,Monday,Weekday
TXN_8005489,Cake,3.0,3.0,9.0,Unknown,In-store,2023-08-12,August,Saturday,Weekend
TXN_6463132,Cookie,5.0,1.0,5.0,Credit Card,Takeaway,2023-08-12,August,Saturday,Weekend
TXN_3925836,Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-02-16,February,Thursday,Weekday
TXN_1896955,Salad,3.0,5.0,25.0,Unknown,In-store,2023-09-23,September,Saturday,Weekend
TXN_5075974,Smoothie,3.0,4.0,16.0,Digital Wallet,Unknown,2023-04-11,April,Tuesday,Weekday
TXN_3978874,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-03-13,March,Monday,Weekday
TXN_8955912,Sandwich,1.0,4.0,4.0,Unknown,Unknown,2023-11-07,November,Tuesday,Weekday
TXN_1136554,Smoothie,3.0,4.0,12.0,Unknown,Takeaway,2023-03-26,March,Sunday,Weekend
TXN_8007337,Cake,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-11-01,November,Wednesday,Weekday
TXN_8129834,Salad,1.0,5.0,5.0,Cash,Unknown,2023-07-22,July,Saturday,Weekend
TXN_3831848,Unknown,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-11-03,November,Friday,Weekday
TXN_5365809,Cake,3.0,3.0,9.0,Cash,In-store,2023-09-14,September,Thursday,Weekday
TXN_8166407,Smoothie,2.0,3.0,8.0,Unknown,Unknown,2023-07-26,July,Wednesday,Weekday
TXN_6629480,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-02-28,February,Tuesday,Weekday
TXN_3833797,Coffee,4.0,2.0,8.0,Unknown,In-store,2023-01-27,January,Friday,Weekday
TXN_2643815,Cookie,3.0,1.0,3.0,Unknown,Unknown,2023-12-06,December,Wednesday,Weekday
TXN_2996519,Cake,5.0,3.0,15.0,Cash,Unknown,2023-01-19,January,Thursday,Weekday
TXN_8810894,Smoothie,1.0,4.0,4.0,Unknown,Unknown,2023-02-20,February,Monday,Weekday
TXN_7412722,Juice,4.0,3.0,12.0,Cash,In-store,2023-04-07,April,Friday,Weekday
TXN_3937509,Smoothie,2.0,4.0,8.0,Unknown,In-store,2023-03-20,March,Monday,Weekday
TXN_6000201,Cookie,3.0,1.0,3.0,Cash,Takeaway,2023-02-16,February,Thursday,Weekday
TXN_1714274,Cookie,4.0,1.0,4.0,Unknown,In-store,2023-12-27,December,Wednesday,Weekday
TXN_3800182,Tea,2.0,3.0,3.0,Cash,In-store,2023-10-26,October,Thursday,Weekday
TXN_5115080,Unknown,5.0,3.0,15.0,Credit Card,Unknown,2023-02-18,February,Saturday,Weekend
TXN_9788956,Juice,3.0,3.0,12.0,Unknown,Unknown,2023-04-11,April,Tuesday,Weekday
TXN_6311602,Juice,3.0,3.0,9.0,Credit Card,Unknown,2023-05-15,May,Monday,Weekday
TXN_2950680,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-12-10,December,Sunday,Weekend
TXN_6749847,Cake,2.0,3.0,6.0,Credit Card,Unknown,2023-08-15,August,Tuesday,Weekday
TXN_2143187,Smoothie,1.0,4.0,4.0,Unknown,In-store,2023-04-21,April,Friday,Weekday
TXN_8964522,Unknown,3.0,3.0,9.0,Credit Card,Takeaway,2023-10-28,October,Saturday,Weekend
TXN_4088917,Coffee,3.0,2.0,6.0,Cash,Takeaway,2023-02-04,February,Saturday,Weekend
TXN_3779366,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-04-15,April,Saturday,Weekend
TXN_7724048,Smoothie,1.0,4.0,4.0,Unknown,In-store,2023-11-12,November,Sunday,Weekend
TXN_2698591,Tea,5.0,1.5,7.5,Unknown,Unknown,2023-08-05,August,Saturday,Weekend
TXN_3171373,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-05-10,May,Wednesday,Weekday
TXN_4129248,Sandwich,2.0,4.0,8.0,Credit Card,Unknown,2023-05-10,May,Wednesday,Weekday
TXN_6498163,Smoothie,5.0,4.0,20.0,Unknown,In-store,2023-07-15,July,Saturday,Weekend
TXN_6717827,Unknown,3.0,5.0,15.0,Digital Wallet,Unknown,2023-11-15,November,Wednesday,Weekday
TXN_9089898,Salad,3.0,3.0,15.0,Credit Card,Unknown,2023-01-11,January,Wednesday,Weekday
TXN_8587583,Cake,1.0,3.0,3.0,Unknown,Unknown,2023-10-01,October,Sunday,Weekend
TXN_8693704,Salad,3.0,5.0,25.0,Cash,In-store,2023-05-04,May,Thursday,Weekday
TXN_3857960,Salad,4.0,5.0,20.0,Cash,In-store,2023-04-26,April,Wednesday,Weekday
TXN_3499124,Unknown,4.0,4.0,16.0,Credit Card,Unknown,2023-08-25,August,Friday,Weekday
TXN_9250710,Salad,1.0,5.0,5.0,Cash,In-store,2023-05-28,May,Sunday,Weekend
TXN_7058377,Juice,1.0,3.0,3.0,Unknown,Takeaway,2023-04-30,April,Sunday,Weekend
TXN_6766492,Salad,1.0,5.0,5.0,Unknown,Unknown,2023-01-14,January,Saturday,Weekend
TXN_9879996,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-03-01,March,Wednesday,Weekday
TXN_4291940,Cake,3.0,3.0,9.0,Credit Card,In-store,2023-11-13,November,Monday,Weekday
TXN_7433461,Cookie,2.0,1.0,2.0,Digital Wallet,Unknown,2023-07-09,July,Sunday,Weekend
TXN_4068262,Salad,2.0,5.0,10.0,Credit Card,Unknown,2023-05-13,May,Saturday,Weekend
TXN_5761073,Cookie,1.0,1.0,1.0,Cash,In-store,2023-05-13,May,Saturday,Weekend
TXN_5047447,Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-12-27,December,Wednesday,Weekday
TXN_6623508,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-05-18,May,Thursday,Weekday
TXN_2651216,Unknown,3.0,4.0,12.0,Unknown,Unknown,2023-04-04,April,Tuesday,Weekday
TXN_9350833,Cake,1.0,3.0,3.0,Cash,Takeaway,2023-01-17,January,Tuesday,Weekday
TXN_8377564,Cake,5.0,3.0,15.0,Unknown,In-store,2023-07-14,July,Friday,Weekday
TXN_7031118,Salad,1.0,5.0,5.0,Credit Card,Unknown,2023-03-29,March,Wednesday,Weekday
TXN_2230167,Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-09-22,September,Friday,Weekday
TXN_6446616,Tea,3.0,1.5,4.5,Unknown,Unknown,2023-09-30,September,Saturday,Weekend
TXN_1721827,Cake,4.0,3.0,12.0,Digital Wallet,Unknown,2023-08-22,August,Tuesday,Weekday
TXN_6334895,Smoothie,1.0,4.0,4.0,Credit Card,Unknown,2023-07-27,July,Thursday,Weekday
TXN_7077119,Unknown,1.0,4.0,4.0,Digital Wallet,In-store,2023-12-30,December,Saturday,Weekend
TXN_8562645,Salad,3.0,5.0,15.0,Unknown,In-store,2023-05-18,May,Thursday,Weekday
TXN_4700144,Coffee,4.0,2.0,8.0,Unknown,In-store,2023-12-21,December,Thursday,Weekday
TXN_5526852,Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,2023-09-28,September,Thursday,Weekday
TXN_6846228,Salad,3.0,3.0,15.0,Unknown,In-store,2023-11-16,November,Thursday,Weekday
TXN_8570890,Juice,4.0,3.0,12.0,Unknown,Unknown,2023-04-14,April,Friday,Weekday
TXN_3205009,Unknown,2.0,1.5,3.0,Cash,In-store,2023-01-03,January,Tuesday,Weekday
TXN_3786188,Tea,3.0,1.5,4.5,Credit Card,In-store,2023-10-20,October,Friday,Weekday
TXN_4530804,Coffee,4.0,2.0,8.0,Unknown,Unknown,2023-01-12,January,Thursday,Weekday
TXN_9642066,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-08-31,August,Thursday,Weekday
TXN_7328294,Juice,2.0,3.0,6.0,Cash,Unknown,2023-07-07,July,Friday,Weekday
TXN_1908636,Tea,2.0,1.5,3.0,Unknown,Unknown,2023-07-07,July,Friday,Weekday
TXN_9238066,Unknown,5.0,1.5,7.5,Digital Wallet,In-store,2023-09-15,September,Friday,Weekday
TXN_5415901,Cake,2.0,3.0,6.0,Digital Wallet,Unknown,2023-10-21,October,Saturday,Weekend
TXN_6714420,Unknown,2.0,3.0,6.0,Credit Card,Takeaway,2023-03-30,March,Thursday,Weekday
TXN_6616971,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-09-02,September,Saturday,Weekend
TXN_7803615,Salad,3.0,5.0,15.0,Cash,In-store,2023-12-13,December,Wednesday,Weekday
TXN_7549542,Cookie,5.0,1.0,5.0,Unknown,Takeaway,2023-12-13,December,Wednesday,Weekday
TXN_3544789,Tea,4.0,1.5,6.0,Unknown,In-store,2023-07-14,July,Friday,Weekday
TXN_1583597,Salad,1.0,5.0,5.0,Cash,In-store,2023-05-10,May,Wednesday,Weekday
TXN_8472308,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-08-19,August,Saturday,Weekend
